Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
BaoDai.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.6,658,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.7,VIE_Events.txt,VIE_events_l_english.yml,Country,,3,TRUE,TRUE,GFX_BaoDai.7,987,4,N/A,,A,P3,Keep,FALSE,,
BaoDai.8,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.8,614,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.9,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.9,1608,4,N/A,,A,P3,Keep,FALSE,,
BaoDai.10,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_BaoDai.10,705,2,N/A,,A,P3,Keep,FALSE,,
BaoDai.11,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.11,843,2,N/A,,A,P3,Keep,FALSE,,
BaoDai.12,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.12,497,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.13,VIE_Events.txt,VIE_events_l_english.yml,Country,FRA,1,TRUE,TRUE,GFX_BaoDai.13,595,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.14,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.14,870,2,N/A,,A,P3,Keep,FALSE,,
BaoDai.15,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.15,574,2,N/A,,A,P3,Keep,FALSE,,
BaoDai.16,VIE_Events.txt,VIE_events_l_english.yml,Country,"JAP, VIE",2,TRUE,TRUE,GFX_BaoDai.16,727,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,Fires before 1960 when VIE_CuongDe_Lost1 flag is set — marks the political failure or death of Cuong De. Conditional title/desc: VIE sees one version of the event; JAP sees another. Option A grants VIE stability; Option B is JAP-specific outcome. Both tags must have their perspective written separately.,
BaoDai.100,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,GFX_BaoDai.100,905,4,NO_DATELINE,,C,P2,Rewrite,TRUE,,
BaoDai_Personality_Cult.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],521,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Brevert_Lines.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,[NONE],602,2,N/A,,A,P3,Keep,FALSE,,
Brevert_Lines.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Brevert_Lines.3,357,1,N/A,,A,P3,Keep,FALSE,,
Brevert_Lines.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Brevert_Lines.3,480,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Brevert_Lines.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Brevert_Lines.3,358,1,N/A,,A,P3,Keep,FALSE,,
Brevert_Lines.5,VIE_Events.txt,VIE_events_l_english.yml,Country,"CAM, LAO, LOS, VIN",1,TRUE,TRUE,GFX_Brevert_Lines.3,451,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Brevert_Lines.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Brevert_Lines.3,188,1,N/A,THIN_DESC,D,P2,Rewrite,TRUE,,
Brevert_Lines.7,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Brevert_Lines.3,325,1,N/A,,A,P3,Keep,FALSE,,
Brevert_Lines.8,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Brevert_Lines.3,313,1,N/A,,A,P3,Keep,FALSE,,
CCC_Pol.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_BaoDai.1,233,1,N/A,,A,P3,Keep,FALSE,,
CCC_Unification.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CCC_Unification.1,675,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CCC_Unification.1,594,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.3,VIE_Events.txt,VIE_events_l_english.yml,Country,CCC,2,TRUE,TRUE,GFX_CCC_Unification.1,433,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.4,VIE_Events.txt,VIE_events_l_english.yml,Country,VIE,1,TRUE,TRUE,GFX_CCC_Unification.2,586,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CCC_Unification.3,845,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CCC_Unification.4,482,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.7,VIE_Events.txt,VIE_events_l_english.yml,Country,CCC,2,TRUE,TRUE,GFX_CCC_Unification.5,595,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.8,VIE_Events.txt,VIE_events_l_english.yml,Country,VIE,1,TRUE,TRUE,GFX_CCC_Unification.6,736,2,N/A,,A,P3,Keep,FALSE,,
CCC_Unification.9,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CCC_Unification.7,783,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification.10,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CCC_Unification.8,365,1,N/A,,A,P3,Keep,FALSE,,
CCC_Unification_Choices.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,3,TRUE,TRUE,GFX_CCC_Unification_Choices.1,609,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CCC_Unification_Choices.2,VIE_Events.txt,VIE_events_l_english.yml,Country,VIE,2,TRUE,TRUE,GFX_CCC_Unification_Choices.2,466,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CD_Hung.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Hung.1,557,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CD_Hung.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Hung.2,523,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CD_Hung.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Hung.3,362,1,N/A,,A,P3,Keep,FALSE,,
CD_Hung.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Hung.4,463,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CD_Nhiep.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Nhiep.1,969,3,N/A,,A,P3,Keep,FALSE,,
CD_Nhiep.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],837,3,N/A,,A,P3,Keep,FALSE,First diplomatic event in the CD_Nhiep PM chain. JAP (Japan as Vietnamese patron) receives an initial diplomatic cable from VIE under PM Nguyen De Nhiep. Single option — grants +15 PP to JAP and immediately chains to CD_Nhiep.3 for VIE. Pure notification/bridge event.,
CD_Nhiep.3,VIE_Events.txt,VIE_events_l_english.yml,Country,"FRA, USA",1,TRUE,TRUE,[NONE],979,3,N/A,,A,P3,Keep,FALSE,VIE receives Japan's response under the Nhiep PM track. Adds conservative ideology popularity; applies opinion modifiers between VIE and JAP; adjusts internal influence/favoritism variables. Part of the Japan-Vietnam diplomatic alignment in the CuongDe playthrough.,
CD_Nhiep.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Nhiep.4,1083,4,N/A,,A,P3,Keep,FALSE,,
CD_Nhiep.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,[NONE],1093,4,N/A,,A,P3,Keep,FALSE,"JAP decision event about investing in the Phu Xuan (Hue area) Metro project. Option A: JAP pays, commits to construction, triggers CD_Nhiep.6. Option B: JAP declines, VIE loses opinion of JAP, triggers CD_Nhiep.8. This is the key branching decision in the infrastructure investment sub-chain.",
CD_Nhiep.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1095,4,N/A,,A,P3,Keep,FALSE,JAP commits to funding the Phu Xuan Metro. Costs Japan money. Schedules CD_Nhiep.7 (metro completion event) with a 730-day delay (2 years). A narrative bridge event confirming the investment decision.,
CD_Nhiep.7,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1321,4,N/A,,A,P3,Keep,FALSE,Phu Xuan Metro completed. Fires 2 years after CD_Nhiep.6. Grants JAP +125 PP and +15% stability; upgrades state 1758 (Hue/Phu Xuan) with infrastructure and powerplant; adds train equipment. Major payoff event for the investment chain.,
CD_Nhiep.8,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1106,4,N/A,,A,P3,Keep,FALSE,JAP refuses the Phu Xuan Metro investment. Minor consequence event — single option that deducts 45 PP from JAP as a diplomatic cost for declining. No follow-on events.,
CD_Nhiep.9,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Nhiep.9,1134,4,N/A,,A,P3,Keep,FALSE,,
CD_Nhiep.10,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1230,4,N/A,,A,P3,Keep,FALSE,Tourism infrastructure completion event for state 1758 (Hue/Phu Xuan area). Single option that adds tourism-related infrastructure and victory points to the state. Reward event for a completed development project in the CuongDe-Nhiep PM track.,
CD_Nhiep.11,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CD_Nhiep.11,1435,5,N/A,,A,P3,Keep,FALSE,,
Central_Highland_Railway.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Central_Highland_Railway.1,987,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Central_Highland_Railway.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],349,1,N/A,,A,P3,Keep,FALSE,,
Central_Highland_Railway.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],284,1,N/A,,A,P3,Keep,FALSE,,
Central_Highland_Railway.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],241,1,N/A,,A,P3,Keep,FALSE,,
Central_Highland_Railway.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],235,1,N/A,,A,P3,Keep,FALSE,,
Cocunut_Monk.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Cocunut_Monk.1,959,2,N/A,,A,P3,Keep,FALSE,,
Colonel_Massau.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,[NONE],519,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Combat_CuongDe.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Combat_CuongDe.1,615,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Crown_Domains.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,[NONE],437,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Crown_Domains.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Crown_Domains.2,252,1,N/A,,A,P3,Keep,FALSE,,
Crown_Domains.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Crown_Domains.3,398,1,N/A,,A,P3,Keep,FALSE,,
Crown_Domains.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,[NONE],437,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Crown_Domains.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],252,1,N/A,,A,P3,Keep,FALSE,,
Crown_Domains.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],398,1,N/A,,A,P3,Keep,FALSE,,
CuongDe.0,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,GFX_CuongDe.0,858,4,OK,,A,P3,Keep,FALSE,,
CuongDe.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.1,400,1,N/A,,A,P3,Keep,FALSE,,
CuongDe.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.2,411,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.3,VIE_Events.txt,VIE_events_l_english.yml,Country,"JAP, USA",2,TRUE,TRUE,GFX_CuongDe.3,375,1,N/A,,A,P3,Keep,FALSE,,
CuongDe.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.4,428,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.5,523,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.6,379,1,N/A,,A,P3,Keep,FALSE,,
CuongDe.7,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.7,748,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.8,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.8,500,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.9,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.9,334,1,N/A,,A,P3,Keep,FALSE,,
CuongDe.10,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.10,618,1,N/A,NO_PARA_BREAKS,C,P2,Rewrite,TRUE,,
CuongDe.11,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Initial_CuongDe.3,699,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.12,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.12,1043,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.13,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.13,647,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.14,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.14,1042,4,N/A,,A,P3,Keep,FALSE,,
CuongDe.15,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.15,969,4,N/A,,A,P3,Keep,FALSE,,
CuongDe.16,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe.16,890,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.17,VIE_Events.txt,VIE_events_l_english.yml,Country,VIE,1,TRUE,TRUE,GFX_CuongDe.17,958,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe.100,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,GFX_CuongDe.100,1081,4,OK,,A,P3,Keep,FALSE,,
CuongDe.101,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,GFX_CuongDe.101,1172,3,NO_DATELINE,,C,P2,Rewrite,TRUE,,
CuongDe_Annexation.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],312,1,N/A,,A,P3,Keep,FALSE,FUL National Focuses Triggers it. / First of a two-event annexation sequence. VIE triggers CD_Annexation.2 for itself after 100 days. Pure bridge/delay event — no mechanical effects of its own. Fires during the CuongDe path when VIE moves to annex a minor territory (likely Cochinchina/FUL).,
CuongDe_Annexation.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],263,1,N/A,,A,P3,Keep,FALSE,VIE formally annexes territory (likely Cochinchina / FUL tag). Grants +100 PP and transfers all FUL troops to VIE control. The actual mechanical annexation event that fires 100 days after CD_Annexation.1. Major game state change,
CuongDe_Coup.0,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,GFX_CuongDe_Coup.0,902,4,OK,,A,P3,Keep,FALSE,,
CuongDe_Coup.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_CuongDe_Coup.1,412,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_Coup.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_Coup.2,385,1,N/A,,A,P3,Keep,FALSE,,
CuongDe_Coup.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_Coup.3,322,1,N/A,,A,P3,Keep,FALSE,,
CuongDe_Coup.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_CuongDe_Coup.4,353,1,N/A,,A,P3,Keep,FALSE,,
CuongDe_Coup.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_Coup.5,575,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.1,367,1,N/A,,A,P3,Keep,FALSE,,
CuongDe_NgoDinh.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.2,439,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.3,411,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.4,626,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.5,744,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.8,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.8,1040,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.11,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.11,1676,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.12,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.12,839,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.17,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.17,925,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.19,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.19,1126,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.20,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.20,942,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.21,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.21,1081,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.22,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.22,564,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.23,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.23,726,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.25,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.25,1263,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.26,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.26,1427,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.27,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.27,1068,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.28,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.28,964,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.30,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.30,836,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.31,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.31,986,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.32,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.32,1529,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_NgoDinh.33,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_CuongDe_NgoDinh.33,1582,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_Successor.0,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,[NONE],915,4,OK,,A,P3,Keep,FALSE,News event (fires for all countries) marking the beginning of CuongDe's succession crisis. Single option. The .0 variant fires first — introduces the succession question to the world. Localization exists but picture GFX is missing.,
CuongDe_Successor.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,4,TRUE,TRUE,GFX_CuongDe_Successor.1,570,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
CuongDe_Successor.100,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,[NONE],979,4,OK,,A,P3,Keep,FALSE,News event (fires for all countries) — one of two successor outcome variants. Marks a specific resolution path for who succeeds Cuong De. Single option. Localization exists.,
CuongDe_Successor.200,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,[NONE],1062,4,OK,,A,P3,Keep,FALSE,News event (fires for all countries) — the alternative successor outcome variant (fired by a different branch than .100). Marks the other resolution path. Single option. Localization exists.,
DaLat_Question.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],829,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
DaLat_Question.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_DaLat_Question.2,931,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
DaLat_Question.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],924,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
DaLat_Question.4,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_DaLat_Question.4,662,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
DaLat_Question.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],647,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
DaLat_Question.6,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],659,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
